ChargeNr;ProbeNr;Originalbez;Pflanzenteil;CN-Einwaage(mg);Ctotal(%);Ntotal(%);Ctotal(mmol/g);Ntotal(mmol/g);Ctotal(mg/g);Ntotal(mg/g);Corg/Norg(mol/mol);Corg/Norg(g/g);ICP-Einwaage(mg);ICP-ALBlind(mg/l);ICP-Al(mg/l);ICP-AlGehalt(µmol/gTM);ICP-AlGehalt(mg/gTM);ICP-CaBlind(mg/l);ICP-Ca(mg/l);ICP-CaGehalt(µmol/gTM);ICP-CaGehalt(mg/gTM);ICP-CuBlind(mg/l);ICP-Cu(mg/l);ICP-CuGehalt(µmol/gTM);ICP-CuGehalt(mg/gTM);ICP-FeBlind(mg/l);ICP-Fe(mg/l);ICP-FeGehalt(µmol/gTM);ICP-FeGehalt(mg/gTM);ICP-KBlind(mg/l);ICP-K(mg/l);ICP-KGehalt(µmol/gTM);ICP-KGehalt(mg/gTM);ICP-MgBlind(mg/l);ICP-Mg(mg/l);ICP-MgGehalt(µmol/gTM);ICP-MgGehalt(mg/gTM);ICP-MnBlind(mg/l);ICP-Mn(mg/l);ICP-MnGehalt(µmol/gTM);ICP-MnGehalt(mg/gTM);ICP-NaBlind(mg/l);ICP-Na(mg/l);ICP-NaGehalt(µmol/gTM);ICP-NaGehalt(mg/gTM);ICP-PBlind(mg/l);ICP-P(mg/l);ICP-PGehalt(µmol/gTM);ICP-PGehalt(mg/gTM);ICP-ZnBlind(mg/l);ICP-Zn(mg/l);ICP-ZnGehalt(µmol/gTM);ICP-ZnGehalt(mg/gTM);ICP-SBlind(mg/l);ICP-S(mg/l);ICP-SGehalt(µmol/gTM);ICP-SGehalt(mg/gTM);ICP-BaBlind(mg/l);ICP-Ba(mg/l);ICP-BaGehalt(µmol/gTM);ICP-BaGehalt(mg/gTM);ICP-PbBlind(mg/l);ICP-Pb(mg/l);ICP-PbGehalt(µmol/gTM);ICP-PbGehalt(mg/gTM);ICP-SrBlind(mg/l);ICP-Sr(mg/l);ICP-SrGehalt(µmol/gTM);ICP-SrGehalt(mg/gTM);ICP-LiBlind(mg/l);ICP-Li(mg/l);ICP-LiGehalt(µmol/gTM);ICP-LiGehalt(mg/gTM);ICP-BBlind(mg/l);ICP-B(mg/l);ICP-BGehalt(µmol/gTM);ICP-BGehalt(mg/gTM);ICP-CdBlind(mg/l);ICP-Cd(mg/l);ICP-CdGehalt(µmol/gTM);ICP-CdGehalt(mg/gTM);ICP-NiBlind(mg/l);ICP-Ni(mg/l);ICP-NiGehalt(µmol/gTM);ICP-NiGehalt(mg/gTM);ICP-CrBlind(mg/l);ICP-Cr(mg/l);ICP-CrGehalt(µmol/gTM);ICP-CrGehalt(mg/gTM);ICP-SiBlind(mg/l);ICP-Si(mg/l);ICP-SiGehalt(µmol/gTM);ICP-SiGehalt(mg/gTM);ICP-SbBlind(mg/l);ICP-Sb(mg/l);ICP-SbGehalt(µmol/gTM);ICP-SbGehalt(mg/gTM)
595;595001;01_SRI_0193_ab_;;4,476;44,281548;1,94505;36,89821515;1,388627115;442,81548;19,4505;26,57172307;22,76627747;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595002;01_SRI_0352_ab_;;4,289;39,285286;1,277682;32,73501042;0,912173913;392,85286;12,77682;35,88680837;30,74731115;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595003;45_SRI_MT_tr;;4,17;47,606922;0,861137;39,66912924;0,614790462;476,06922;8,61137;64,52463351;55,28379573;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595004;01_SRI_0429_ab_;;4,599;45,772266;2,008897;38,14037664;1,434209324;457,72266;20,08897;26,59331243;22,78477493;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595005;17_SRI_1896_ab_S;;4,642;38,793041;1,688895;32,32484043;1,205750696;387,93041;16,88895;26,8088922;22,96948064;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595006;17_SRI_1919_ab_;;4,503;39,181744;1,947932;32,64873261;1,390684658;391,81744;19,47932;23,47673315;20,11453377;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595007;23_SRI_2204_ab_;;4,32;43,701191;1,925022;36,41462461;1,37432855;437,01191;19,25022;26,49630222;22,70165796;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595008;23_SRI_2231_ab_P;;4,502;40,350948;2,40865;33,62298808;1,719604483;403,50948;24,0865;19,55274507;16,75251614;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595009;23_SRI_2288_ab_;;4,216;46,452526;2,14479;38,70721273;1,531227244;464,52526;21,4479;25,27855542;21,65830967;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595010;23_SRI_2432_ab_P;;4,531;38,744968;2,319629;32,28478293;1,656049832;387,44968;23,19629;19,49505523;16,7030883;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595011;23_SRI_2458_ab_;;4,497;43,752693;2,071012;36,45753937;1,478555008;437,52693;20,71012;24,65754684;21,12623828;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
595;595012;45_SRI_4651_ab_;;4,362;38,752594;1,755001;32,29113741;1,25294567;387,52594;17,55001;25,77217686;22,08123756;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;;0;0;;
