tag_id;plot;system;root_type;species;Length(cm);SurfArea(cm2);AvgDiamWeight(mm);AvgDiam(mm);RootVolume(cm3);Tips;Forks;Crossings;wet_weight_g;dry_weight_g;RTD;SRL;SRA;water_cont;ratio_abs_tra;tips_lenghts
7149;45;PERO;tr;O;19,0572;9,3106;1,5551;1,5551;0,362;32;45;1;0,3441;0,1456;0,402;1,309;0,0064;57,687;0,718406593;1,679155385
5920;49;SO;tr;SHO;24,6659;9,7778;1,2618;1,2618;0,308;35;50;4;0,4353;0,1876;0,609;1,315;0,0052;56,903;0,081556503;1,418963022
4697;45;PERO;tr;PAR;97,2801;34,1079;1,116026739;1,1094;1,01;195;542;42;1,445;0,6855;0,679;1,419;0,0050;52,561;0,292778993;2,004520966
7001;1;PO;tr;O;13,8347;8,0145;1,844;1,844;0,369;27;37;0;0,316;0,0954;0,259;1,450;84,0094;69,810;1,306079665;1,951614419
2204;23;MIX;tr;ARC;40,6202;16,8171;1,3178;1,3178;0,554;45;55;2;0,6089;0,2663;0,481;1,525;63,1510;56,265;0,432970334;1,107823201
4705;45;PERO;tr;PER;41,3359;15,6769;1,2072;1,2072;0,473;50;77;3;0,558;0,2694;0,570;1,534;58,1919;51,720;0,136228656;1,209602307
7154;45;PERO;tr;O;13,9064;6,5045;1,4889;1,4889;0,242;41;61;1;0,2836;0,0872;0,360;1,595;74,5929;69,252;2,09059633;2,948282805
7053;23;MIX;tr;O;19,9018;11,5219;1,8428;1,8428;0,531;35;41;0;0,3874;0,1173;0,221;1,697;98,2259;69,721;1,202046036;1,758634897
7046;17;SO;tr;O;14,3627;9,1034;2,0175;2,0175;0,459;18;29;0;0,3581;0,0802;0,175;1,791;113,5087;77,604;2,955112219;1,253246256
4785;45;PERO;tr;PER;46,8589;17,073;1,1598;1,1598;0,495;76;174;7;0,5992;0,2474;0,500;1,894;69,0097;58,712;0,438561035;1,621890399
7148;45;PERO;tr;O;17,7008;7,5615;1,3598;1,3598;0,257;44;52;2;0,2898;0,0908;0,353;1,949;83,2764;68,668;0,534140969;2,485763355
7006;1;PO;tr;O;22,3809;12,9082;1,8359;1,8359;0,592;31;45;0;0,454;0,111;0,188;2,016;116,2901;75,551;0,984684685;1,385109625
7188;49;SO;tr;O;58,1777;23,1828;1,2684;1,2684;0,735;141;222;3;0,7176;0,287;0,390;2,027;80,7763;60,006;0,717770035;2,423609046
7158;45;PERO;tr;O;38,3906;15,0598;1,2487;1,2487;0,47;76;116;1;0,5501;0,1859;0,396;2,065;81,0102;66,206;0,97471759;1,979651269
7216;54;CTRL;tr;O;20,344;8,8253;1,3808;1,3808;0,305;36;64;4;0,2985;0,0978;0,321;2,080;90,2382;67,236;0,68200409;1,769563508
7117;35;OO;tr;O;39,1165;17,4171;1,4173;1,4173;0,617;101;206;9;0,4668;0,1873;0,304;2,088;92,9904;59,876;0,830752803;2,582030601
4966;45;PERO;tr;PER;52,4701;17,9602;1,0896;1,0896;0,489;132;298;12;0,7305;0,2496;0,510;2,102;71,9559;65,832;1,06835443;2,515718476
7196;49;SO;tr;O;27,5056;18,2113;2,1075;2,1075;0,96;32;50;1;0,7556;0,1305;0,136;2,108;139,5502;82,729;0,819923372;1,163399453
7215;53;CTRL;tr;O;34,182;13,814;1,2864;1,2864;0,444;74;109;4;0,4117;0,1575;0,355;2,170;87,7079;61,744;0,44952381;2,164882102
7051;23;MIX;tr;O;37,1338;20,4877;1,7562;1,7562;0,9;60;91;3;0,7164;0,1615;0,179;2,299;126,8588;77,457;0,340557276;1,615778617
7003;1;PO;tr;O;63,9705;26,9326;1,3401;1,3401;0,902;158;240;8;0,9559;0,276;0,306;2,318;97,5819;71,127;0,428623188;2,469888464
4947;45;PERO;tr;PAR;37,6023;11,2308;0,9507;0,9507;0,267;91;155;3;0,3648;0,158;0,592;2,380;71,0810;56,689;0,06835443;2,42006473
7217;55;CTRL;tr;O;23,137;9,735;1,3393;1,3393;0,326;39;42;2;0,2447;0,0964;0,296;2,400;100,9855;60,605;0,37033195;1,685611791
